#{"t_start": 1775463300.5326302, "env_id": "None"}
r,l,t
-13.280695,220,4.972278
-12.440979,220,7.630298
-25.595845,220,10.182647
4.669974,220,12.695187
22.366769,220,16.063405
-27.213314,220,18.706621
14.59112,220,21.301057
60.055365,220,24.07159
14.82037,220,26.661273
-3.851583,220,31.222735
26.135428,220,33.854608
29.417419,220,36.582646
-0.074368,220,39.298018
42.519742,220,42.730984
5.492001,220,45.368017
-10.061088,220,48.124859
-19.187624,220,50.728937
-6.003977,220,53.326689
-25.38022,220,56.821394
-1.767767,220,59.46914
6.273094,220,62.098325
11.509835,220,64.759176
-7.752948,220,67.389167
38.78932,220,70.700822
28.516252,220,73.438276
14.25602,220,76.076111
28.348854,220,78.783977
24.662998,220,82.871942
33.99419,220,85.571821
15.712624,220,88.238052
-11.977755,220,90.873926
-7.942042,220,93.641589
32.248206,220,97.430915
10.68385,220,100.206196
28.743841,220,102.992934
25.316182,220,105.750961
22.559884,220,108.458264
19.213126,220,112.047795
34.593662,220,114.727677
28.283723,220,117.365091
44.403873,220,120.079936
44.022339,220,123.414426
38.746727,220,126.056463
56.881407,220,128.686609
23.874621,220,131.394022
40.402319,220,159.615673
42.674681,220,162.993152
28.387488,220,165.603924
28.330869,220,168.231727
38.718351,220,170.885769
28.900571,220,173.492535
33.305665,220,176.706181
37.040511,220,179.348141
32.622961,220,181.976697
13.033888,220,184.623644
32.16965,220,188.121218
32.956849,220,190.712126
30.026501,220,193.312212
54.847937,220,195.991038
42.439788,220,198.627977
27.873615,220,201.888037
39.842356,220,204.526117
44.359776,220,207.182852
60.486503,220,209.884225
47.984451,220,212.519951
43.784186,220,215.949507
19.792989,220,218.541573
45.009315,220,221.130361
103.480711,111,222.596925
41.201354,220,225.154489
37.257027,220,228.55857
32.201093,220,231.136717
45.706867,220,233.732849
53.632685,220,236.281757
56.705647,220,239.654098
44.10547,220,242.290781
39.164104,220,244.945478
46.409991,220,247.554629
36.062492,220,250.25923
58.205199,220,253.632516
51.321093,220,256.295373
54.036221,220,258.973833
25.308821,220,261.595608
41.782808,220,264.219226
32.49987,220,268.106051
37.625802,220,270.977405
36.841831,220,273.658046
40.085702,220,276.34844
31.666751,220,279.994107
64.36753,220,282.636451
56.913427,220,285.417492
36.034383,220,314.196845
39.593145,220,317.087682
66.268136,220,321.035451
48.061517,220,323.880093
36.369359,220,326.701625
48.77261,220,329.513272
29.099282,220,332.387916
47.346034,220,336.023555
54.355446,220,338.82641
41.245803,220,341.754666
71.832435,220,344.648044
31.525671,220,348.664249
51.962198,220,351.506962
37.224523,220,354.23609
50.816805,220,357.155242
55.938776,220,360.000271
55.957829,220,363.71742
35.960482,220,366.573332
42.874142,220,369.395665
49.754416,220,372.25223
41.510922,220,375.023742
42.391642,220,379.059071
43.897444,220,381.87288
56.404227,220,384.835671
39.238863,220,387.554271
51.842984,220,391.108145
44.580576,220,393.783949
47.401024,220,396.478186
43.803237,220,399.158333
57.636232,220,401.831475
42.175318,220,405.390885
44.245456,220,408.233726
33.095591,220,411.017097
66.253775,220,413.638316
49.821913,220,416.280324
43.857132,220,419.79133
51.223113,220,422.368518
58.400248,220,425.030923
43.369621,220,427.634159
53.064515,220,431.195591
57.185509,220,433.877269
42.431789,220,436.683082
42.359215,220,439.505988
49.06532,220,442.197564
70.839425,220,445.737703
51.252453,220,475.517479
44.472867,220,478.057525
72.117749,220,480.639628
54.517213,220,483.321007
36.090479,220,486.590848
43.757729,220,489.140581
51.547601,220,491.770943
32.258634,220,494.38366
45.046734,220,497.581984
58.207131,220,500.173083
84.960307,220,502.714228
63.064938,220,505.217677
55.114033,220,507.770022
40.226382,220,510.830343
49.96321,220,513.273469
86.654432,220,515.87924
44.614249,220,518.57661
41.210947,220,521.156674
36.60137,220,524.074651
57.634203,220,526.660993
62.221174,220,529.180458
41.997172,220,531.639272
48.351061,220,534.606102
48.187386,220,537.153271
43.503045,220,539.718863
56.632429,220,542.2324
57.131331,220,544.689428
52.15547,220,547.499435
45.644914,220,550.033251
49.992353,220,552.474495
55.787167,220,555.018293
49.711212,220,557.498568
35.878651,220,560.498132
50.578946,220,563.078753
49.508135,220,565.700901
56.697447,220,568.800911
72.998723,220,571.677399
38.616301,220,574.238205
40.148216,220,576.677535
37.87394,220,579.237355
68.63099,220,581.716797
82.292885,220,584.513857
26.839184,220,586.994625
43.18497,220,589.519812
51.865822,220,592.044456
51.667816,220,594.617994
48.655226,220,622.425015
80.401581,220,625.046438
64.941185,220,627.59574
41.821882,220,630.077942
60.44196,220,633.336551
57.034647,220,635.964476
56.412068,220,638.46841
54.581081,220,641.107042
51.056332,220,643.689444
51.03037,220,646.894032
38.256876,220,649.377095
37.848881,220,651.857136
62.651777,220,654.415369
39.335581,220,657.427769
69.231319,220,659.901174
52.421465,220,662.4179
50.460596,220,664.979429
53.345993,220,667.504802
51.966854,220,670.910683
46.882189,220,673.447161
47.166973,220,675.957103
46.783668,220,678.561275
55.709377,220,681.151301
61.561116,220,684.213038
61.650969,220,686.699689
49.167649,220,689.193866
57.839625,220,691.786139
52.831431,220,694.994426
64.314704,220,697.51128
67.166078,220,700.302737
46.350622,220,702.942666
50.918787,220,705.512219
61.601748,220,708.78923
81.825146,220,711.259215
57.480765,220,713.754368
63.844765,220,716.203052
50.362462,220,718.716251
44.691101,220,721.906864
52.560804,220,724.474451
45.504012,220,726.964979
57.982979,220,729.468132
43.677579,220,732.742654
66.545574,220,735.216471
63.125125,220,737.760864
54.977399,220,740.162262
46.662389,220,780.986129
37.30371,220,783.891354
36.64337,220,786.367962
50.89761,220,788.951651
53.984958,220,791.531137
53.497958,220,793.935567
