#{"t_start": 1775824073.5823617, "env_id": "None"}
r,l,t
-11.780158,12,3.740176
6.216708,12,3.864411
-4.239068,20,4.068735
-23.186351,12,4.195146
-20.17721,12,4.330096
-9.378544,12,4.459295
-9.919243,12,4.588191
-9.942756,12,4.719622
-21.713504,12,4.846519
-14.975237,12,4.976099
-15.577747,12,5.105395
-14.956198,12,5.238479
-14.852184,12,5.366669
8.657781,12,5.488039
-17.541796,12,5.614698
-15.114924,12,5.736464
18.596684,12,5.862746
-8.844977,12,5.991642
-10.809593,12,6.114106
-0.870839,12,6.245622
-13.583709,12,6.52455
15.601219,12,6.647084
-17.185936,12,6.772343
1.99537,12,6.900276
20.995588,12,7.027082
-2.987287,12,7.151443
36.717973,50,7.696125
-15.907858,12,7.8251
-6.433493,12,7.954095
-12.395463,12,8.078174
9.569158,12,8.213563
-32.775966,108,9.583038
-15.588763,12,9.705417
-16.774339,12,9.827519
-5.61751,12,9.955853
-18.542449,12,10.082916
-12.240205,12,10.207233
-3.714532,12,10.340309
2.53133,41,10.765563
3.099688,12,10.891076
-9.83745,12,11.020269
-9.320648,12,11.149522
-7.454294,12,11.281323
-19.924958,12,11.410814
7.955966,12,11.533329
66.979685,140,13.226535
11.129942,12,13.362967
7.976497,12,13.487054
-18.077995,12,13.625585
9.085831,12,13.774039
-3.899575,23,14.014684
-0.162309,12,14.141156
-3.229429,12,14.277402
-19.658439,12,14.403106
-18.734742,12,14.536161
-19.712335,12,14.662833
0.540003,12,14.7876
-10.211804,12,14.912491
-12.986619,12,15.041491
11.42188,12,15.352042
-0.80411,12,15.476616
-3.67822,12,15.601448
-16.312752,12,15.732855
-9.910408,12,15.858236
50.544982,26,16.135955
-12.91097,12,16.263739
-2.693597,32,16.612077
-2.286144,12,16.739446
-15.704577,12,16.866278
1.729027,12,16.992114
-24.005964,12,17.116989
-14.282695,12,17.243594
-16.12565,12,17.381596
-20.483627,12,17.511047
-6.102657,31,17.836497
82.911234,140,19.403665
-21.497327,12,19.53258
199.699738,114,20.756488
-21.750149,12,21.022632
-19.048989,12,21.146499
-19.161988,12,21.276679
-14.180769,12,21.402875
88.097154,53,21.99031
8.359914,12,22.113359
-19.711112,12,22.24104
-7.984756,12,22.365401
-15.155706,12,22.493176
9.449129,12,22.624235
-20.183076,12,22.750447
-15.872505,12,22.874715
-30.023965,33,23.23396
-21.027319,12,23.357945
-15.524325,12,23.482239
-16.282422,12,23.611164
13.96524,30,24.074651
-1.55469,16,24.246269
4.726204,12,24.369337
6.484285,12,24.491892
-19.652076,12,24.621863
-14.796775,12,24.748178
-8.708603,12,24.876331
-16.803134,12,24.999387
56.320813,24,25.254908
7.17639,12,25.377421
-12.204213,12,25.504401
-0.381066,12,25.634537
-15.795291,12,25.759683
9.562868,12,25.883763
-9.474563,12,26.006354
-0.735286,12,26.136243
-19.038852,12,26.266004
-11.762888,12,26.392371
-5.211736,12,26.514871
-14.756503,12,26.785342
-23.770232,23,27.031314
40.030413,140,28.670929
-12.76442,12,28.798143
-5.564603,12,28.929876
-20.516972,12,29.059196
-3.707095,12,29.18601
42.596822,45,29.785067
-22.76514,12,29.941216
-22.384139,12,30.070562
43.837344,26,30.338464
-17.671192,12,30.47605
-15.517472,12,30.603138
-21.369341,12,30.728253
-3.241557,33,31.074314
-16.583511,12,31.201751
4.511036,48,31.693736
-14.996565,12,31.820415
-15.688797,12,31.952554
-10.014863,12,32.080876
-6.584631,12,32.203464
-1.700997,13,32.335384
-17.459944,12,32.64458
-10.37952,12,32.768154
-15.530616,12,32.901674
-10.980251,12,33.026066
-20.821648,12,33.150733
-14.80163,12,33.292122
-13.441988,12,33.416171
-20.414718,12,33.540723
-11.257509,12,33.66463
7.210493,12,33.787634
-9.631838,12,33.922269
-20.959276,12,34.049061
-20.802076,12,34.174231
9.834182,12,34.303157
116.519949,140,36.022219
17.546826,12,36.150296
-15.745537,12,36.279942
141.12899,132,37.710209
-11.254771,12,37.848758
16.002177,12,37.975223
-16.168951,12,38.10745
-15.263813,12,38.238869
-20.597593,12,38.483143
102.493784,140,40.022247
-16.812492,12,40.146616
-11.451762,12,40.272358
-16.865041,12,40.39837
-10.70641,13,40.539834
8.415515,12,40.667098
-7.479231,12,40.794828
8.807616,12,40.930836
-16.610533,12,41.056725
-15.984505,12,41.183568
-18.040397,12,41.42308
-9.748585,12,41.553623
9.685712,12,41.682053
21.56195,12,41.806927
-1.596165,12,41.931058
11.714989,12,42.058355
18.717749,12,42.185227
-8.313039,12,42.30797
-12.375382,12,42.43161
-10.974414,12,42.555629
7.605467,12,42.678933
-10.15958,12,42.805184
-0.300995,12,42.929403
-19.957555,12,43.060317
-21.476301,12,43.180083
16.461722,12,43.307082
-17.14036,12,43.431499
-10.38587,12,43.566859
9.756093,12,43.697231
-22.019934,12,43.82024
-20.024611,12,43.943151
4.445009,16,44.292438
-9.058174,12,44.417114
-4.021184,12,44.55014
-12.578832,12,44.674139
-18.292448,12,44.803831
-20.457803,32,45.150109
-15.991587,12,45.271444
-21.311171,12,45.393725
8.013248,12,45.520517
-10.584598,12,45.644804
-20.759937,12,45.767032
-21.619965,12,45.895518
-1.755457,21,46.111753
-10.35052,12,46.237201
-13.353853,12,46.363832
-13.090975,12,46.487951
14.199094,140,48.223145
-16.717538,28,48.518366
-20.065231,12,48.64304
3.176693,43,49.104256
-14.933996,12,49.225444
-13.51823,21,49.442595
-21.045305,12,49.567764
-7.251022,18,49.751938
-11.254316,12,50.049306
7.333944,12,50.169737
-21.416654,12,50.299479
2.607121,12,50.425923
-11.873367,12,50.551023
-12.108675,12,50.677036
-9.366995,12,50.801833
-13.947162,12,50.927024
8.577332,12,51.052099
-16.636675,12,51.175324
-22.709289,28,51.458915
-21.03479,19,51.655207
-11.066049,12,51.78135
-8.522152,12,51.904717
9.639679,12,52.027538
-15.944246,12,52.157046
-16.703591,12,52.282121
6.708021,12,52.405477
7.08276,12,52.530406
-16.558952,12,52.653459
-14.553334,12,52.910508
-9.414162,12,53.034397
6.187918,12,53.161542
-15.259386,12,53.293931
9.361109,12,53.418645
-6.600341,12,53.545176
9.053142,12,53.670684
-38.508628,41,54.09367
-20.437845,12,54.21939
-14.548996,12,54.350086
-1.727713,12,54.474499
-18.655536,12,54.598066
-4.709985,62,55.241173
-12.447354,12,55.371814
-30.405168,36,55.895771
-7.60865,12,56.017453
-14.902586,12,56.143103
0.391203,12,56.269396
-20.159486,12,56.393424
-12.103729,12,56.520101
-15.200447,12,56.644771
-20.012689,12,56.769289
127.611528,140,59.896284
-19.474972,12,60.155252
-2.255838,12,60.282372
-20.086713,12,60.413576
-13.997466,12,60.540841
-15.469299,12,60.670092
9.925472,12,60.797372
-15.67064,12,60.924294
-18.53721,12,61.052733
-9.951147,12,61.178362
-19.245659,41,63.540377
-9.456182,76,64.358768
-16.482952,12,64.491366
-17.844511,12,64.617696
-18.519349,12,64.74204
-40.570445,37,65.322042
171.731305,130,66.681149
-21.612369,12,66.80609
-15.006897,12,66.931595
7.178802,12,67.056532
-15.206393,20,67.268134
-37.732769,39,67.846507
-12.287725,12,67.971315
-16.948072,12,68.097255
-15.548697,12,68.22457
-18.55511,12,68.351097
-15.264545,12,68.477067
-18.109005,12,68.612008
11.164907,12,68.737274
-6.424308,16,68.901556
149.445421,138,70.407877
44.546637,100,71.607147
-4.386652,12,71.732449
-15.799837,12,71.85765
-16.003692,12,71.98012
-11.772783,12,72.100718
-19.011867,12,72.222262
-14.878351,12,72.354316
131.34879,97,73.548865
-17.592275,12,73.670222
1.613311,12,73.796441
8.238313,12,73.936096
107.93167,59,74.567358
-12.705805,140,76.143201
89.245725,46,76.821004
-17.245129,12,76.943211
-2.038652,12,77.077685
-16.21897,12,77.201254
-16.79966,12,77.334539
-15.23571,12,77.463291
-18.003373,12,77.5918
51.158956,35,77.962501
-5.424257,12,78.08955
-10.101615,12,78.218324
-11.015131,12,78.348964
-21.442948,12,78.472154
-13.928358,24,78.730778
-15.681062,12,78.85921
-14.599663,70,79.802652
-41.637445,53,80.405709
-17.653681,12,80.540233
-15.008732,12,80.666476
8.856203,12,80.794397
-11.097458,12,80.92248
-11.684047,16,81.090061
-16.526843,12,81.217404
-11.791809,12,81.353251
-18.133993,12,81.482662
6.661991,12,81.615763
-17.114923,12,81.747195
-22.823251,12,81.875844
-12.071138,12,82.001591
-19.62011,12,82.127626
-17.84562,12,82.262491
-18.089806,12,82.573112
-19.858719,12,82.697104
16.241101,24,82.94555
-15.73793,12,83.069849
-17.699047,12,83.190022
8.945739,12,83.312466
-14.744104,12,83.444801
-20.185596,44,83.931789
-9.829643,12,84.06712
-10.436541,12,84.194888
20.420958,12,84.321727
9.489237,12,84.442612
-3.157578,12,84.566585
-2.8934,12,84.689618
-10.121352,12,84.816095
-17.854091,12,84.95312
-9.167073,12,85.078166
7.304231,12,85.346934
157.162387,140,86.833422
-11.472797,12,86.956416
1.770674,21,87.188342
-11.484641,23,87.43281
-8.461813,12,87.558628
115.124963,140,89.282883
-20.005214,12,89.411355
-13.243933,12,89.538914
-5.740669,12,89.666558
-20.506768,12,89.792446
-8.595206,37,90.190586
-14.314519,32,90.516076
-19.559664,12,90.640839
-11.945532,12,90.765296
-16.598846,12,90.89929
21.095726,12,91.189927
-2.685028,12,91.314195
-4.506958,12,91.439034
-16.628459,12,91.564189
-14.97951,12,91.688613
-12.568152,12,91.813912
31.595967,46,92.294911
-13.194383,12,92.421166
-48.413998,46,92.912119
-22.572059,12,93.045162
-6.585355,12,93.176479
45.338596,46,93.648463
-11.420803,12,93.773785
42.104694,140,95.516209
-16.151822,12,95.64243
-18.13989,12,95.76732
-2.780475,12,95.898015
-13.876028,31,96.213254
8.576634,12,96.339479
-37.407852,52,97.028399
-18.261577,12,97.155256
-18.915577,12,97.296444
-4.324358,12,97.430103
-16.892704,12,97.561131
-22.744192,12,97.693432
44.120513,101,98.810866
9.545916,12,98.944756
13.318699,12,99.076383
-3.978254,13,99.220124
-18.533956,12,99.350241
9.354659,12,99.4796
-19.369917,12,99.619413
-11.063613,12,99.749588
16.711576,12,100.079683
-16.713294,12,100.204214
19.277903,12,100.333655
-15.923922,12,100.459975
7.375321,12,100.585766
-2.698785,12,100.714267
-14.48375,12,100.839879
78.216583,81,101.71938
-15.609474,12,101.845374
-11.121768,12,101.9721
-19.639486,44,102.425592
8.745754,68,103.262057
178.399879,140,104.712233
8.40276,12,104.834149
-15.58689,12,104.96231
-10.969511,12,105.087036
-6.543164,12,105.215071
6.110895,12,105.335928
-1.400283,18,105.697104
-14.724163,12,105.818011
-10.642198,12,105.942207
-20.663588,12,106.068556
-15.245615,12,106.191127
-21.544827,12,106.318027
-20.439841,12,106.440304
-14.424988,12,106.567077
-16.489976,12,106.693046
-9.393228,12,106.819686
-18.377488,12,106.940732
-17.686466,12,107.065762
-20.523303,12,107.192364
8.469138,12,107.322899
-16.200621,12,107.448039
-16.042789,12,107.578003
15.974933,12,107.702434
12.001091,12,107.832887
8.968571,12,107.959141
-1.901101,12,108.084267
-47.898651,60,108.817076
-12.796369,12,108.94155
-15.694192,12,109.066986
-18.920208,12,109.192611
-1.376191,61,109.824968
-12.333534,12,109.951833
-15.513779,12,110.079948
-2.331845,12,110.21338
-9.018815,12,110.340677
11.824975,20,110.550903
-17.050935,12,110.674469
1.414937,12,110.799318
-57.214282,55,111.506437
-11.939116,12,111.631346
-13.13568,12,111.757013
9.853661,28,112.050472
-16.729675,12,112.175567
-5.637662,76,112.954525
-10.427278,12,113.079659
62.611928,29,113.394239
-16.637876,12,113.525397
-15.549578,12,113.651301
4.23289,12,113.772439
-13.780114,12,113.897733
-20.4665,12,114.199981
-10.091633,12,114.325592
0.511862,20,114.537915
-12.71164,12,114.662641
-15.670867,12,114.785781
59.783188,140,116.340292
-14.015105,12,116.462093
-22.151811,22,116.693855
-16.377788,12,116.816826
10.312377,12,117.105456
-8.764597,12,117.238007
-8.417874,12,117.364674
4.43769,12,117.491008
-14.484544,12,117.616712
-15.495478,12,117.741906
-16.033593,12,117.864666
10.057371,12,117.994316
-18.443161,12,118.126536
-0.684641,12,118.248845
-15.300744,12,118.373141
-10.322494,12,118.505762
11.695359,12,118.631069
-17.686245,12,118.753753
-16.136895,12,118.879176
-33.61422,43,119.352656
11.569662,12,119.477179
-10.973151,12,119.605624
-0.458198,12,119.904396
22.477065,111,122.459829
1.268804,12,122.586414
-15.946423,12,122.712552
-18.402262,12,122.835441
-14.772203,12,122.960826
-5.136185,13,123.093362
-21.235922,12,123.21941
-10.804119,12,123.344981
-20.573147,12,123.473688
-17.40336,15,123.632329
-21.384576,12,123.755843
-0.887259,12,123.877877
-11.027168,12,124.173337
-14.5094,12,124.299126
-11.28504,12,124.420248
-9.805884,12,124.547056
-25.260967,21,124.774279
-16.892557,12,124.903048
-11.816748,12,125.031932
-0.103205,31,125.365603
-14.960154,12,125.491064
158.29459,140,127.13849
-11.320341,28,127.435953
-12.637938,22,127.665645
-20.108659,12,127.790669
-36.212995,41,128.228311
1.333437,16,129.996493
-11.392305,12,130.125049
-17.323037,12,130.254922
8.587887,12,130.383627
9.508351,12,130.506958
8.614837,12,130.632602
34.571364,65,131.3019
-9.733987,12,131.566456
-12.930882,18,131.748163
2.551347,12,131.871992
-15.640191,12,131.995243
-14.90905,12,132.127565
1.442739,12,132.260703
-16.94932,12,132.391115
-13.217235,12,132.519935
-15.959098,12,132.662758
-25.475315,26,132.93509
-14.400502,12,133.059391
-15.14684,12,133.185585
98.978747,140,134.89156
-18.172943,12,135.017149
-3.723506,31,135.341189
-18.658246,12,135.464681
-10.978671,12,135.591196
8.457383,12,135.714926
-3.264713,12,135.840839
-6.522028,12,135.966631
-15.770708,64,136.631325
-17.94782,12,136.755332
-4.34778,19,136.949258
-16.893065,12,137.221184
20.228443,12,137.343563
-14.759906,12,137.46995
-9.885816,12,137.610224
-14.863399,12,137.738322
-6.155004,12,137.863693
-15.467106,12,137.986827
-15.60755,12,138.115209
-10.244779,12,138.242474
-9.113517,12,138.381335
-15.275845,12,138.518121
-19.893957,12,138.671334
10.017023,12,138.796652
-1.989362,12,138.923645
-23.595092,25,139.188898
-17.006736,12,139.31702
-18.011163,12,139.445217
8.816578,12,139.571036
-20.851169,12,139.700574
-16.034273,12,139.827639
-10.282441,12,139.955235
-16.17757,12,140.225039
-20.464099,12,140.351067
-17.460451,12,140.474041
8.965178,12,140.600652
-16.346568,12,140.725942
-15.89361,12,140.849038
84.287934,41,141.287912
-15.880209,12,141.412518
-24.740601,30,141.770979
-21.376812,12,141.897985
72.772018,52,142.464674
1.29191,12,142.587344
18.566304,27,143.000431
-16.651954,12,143.123661
-17.742247,12,143.250381
-18.955975,17,143.434126
20.109473,12,143.560372
-5.85042,34,143.911508
-14.768619,12,144.040221
-17.30315,12,144.167106
-20.785778,12,144.299882
3.375101,12,144.424403
-21.209121,12,144.553015
-2.940871,12,144.676392
-12.029139,12,144.800714
-19.046618,12,144.926375
37.406004,140,146.648649
-9.793733,12,146.774981
-20.432775,12,146.90064
-20.206799,12,147.026271
-12.431177,12,147.153934
-12.849125,12,147.283751
-15.130252,12,147.412191
30.578732,140,149.151311
-7.674773,12,149.278862
-16.57167,33,149.6176
-6.232517,26,149.878541
-11.277576,12,150.003987
-18.021114,12,150.130578
-18.24742,12,150.260279
-15.391675,12,150.384825
-10.398116,12,150.50791
-9.474182,12,150.63642
-11.716966,12,150.758498
-16.463359,12,150.884802
-22.698939,12,151.009975
-5.289827,12,151.135649
-10.874639,12,151.265185
-19.60344,18,151.46224
-16.014794,12,151.760085
-17.748864,23,152.007205
-9.34125,12,152.134382
-17.517944,12,152.260276
0.053235,12,152.404989
-10.906332,12,152.526711
9.302735,12,152.660429
-14.53076,12,152.791614
-9.808138,12,152.919919
-18.885398,12,153.054398
-12.640854,12,153.180792
-21.993967,12,153.306894
-14.988941,12,153.444143
-19.175069,12,153.569148
-15.929373,12,153.708651
14.739427,12,153.829418
103.187313,140,155.572509
19.693991,12,155.70396
-15.632161,12,155.825803
46.001798,28,156.119739
-21.31097,12,156.250531
-19.378291,12,156.377278
-8.691988,12,156.506871
-15.520709,12,156.631577
-10.570226,12,156.756014
-4.120371,12,156.887543
-20.968023,12,157.014272
-5.996008,12,157.139391
-15.999089,12,157.266796
-20.786174,12,157.392167
-21.040267,12,157.655436
5.403207,12,157.778825
-22.038181,12,157.904581
-15.435991,12,158.031379
234.425173,140,159.621382
-20.453786,12,159.745868
-18.42267,140,161.496964
-9.854041,12,161.624177
-10.104244,12,161.749085
3.13215,14,161.891183
-21.934023,12,162.018393
-19.464116,12,162.141467
-12.927637,12,162.269134
-15.566349,12,162.389273
16.517419,12,162.511968
-14.322936,12,162.638415
-11.775574,12,162.766381
-1.91119,12,162.891113
-3.596908,12,163.016565
-17.787622,12,163.140542
-17.809186,12,163.270714
-14.241047,12,163.541613
-22.381411,23,163.777914
2.923388,12,163.90544
-15.332861,12,164.029985
-18.896705,12,164.157062
1.224815,12,164.281793
-5.531431,12,164.404957
-20.07371,12,164.531311
-7.594024,12,164.658867
-15.091388,12,164.7847
23.923727,59,165.389529
-14.143161,12,165.515593
-12.377821,12,165.642702
-16.322155,35,165.998869
-21.288483,12,166.127522
-13.21067,12,166.383395
-15.163254,12,166.507239
-10.687721,12,166.634434
9.681818,12,166.759297
-15.388337,12,166.890127
-21.410273,12,167.014785
-2.721096,12,167.141124
-2.081822,12,167.270419
-21.837038,12,167.396712
146.883645,82,168.325649
-1.95381,12,168.449164
-17.365667,12,168.572372
-14.395207,12,168.701777
-20.465807,12,168.826937
-20.994102,12,168.952778
-19.969966,12,169.214045
-12.844743,22,169.444285
-5.823385,12,169.570622
-11.090268,12,169.696939
-10.162358,12,169.823731
-16.574997,12,169.950767
-11.293674,12,170.074143
-16.779753,12,170.201956
-19.465477,12,170.326195
-12.60768,12,170.453025
-18.501244,23,170.69921
-20.679606,12,170.823375
-12.617264,12,170.945177
-14.58379,12,171.07115
-16.058313,12,171.19834
9.095581,12,171.328763
-7.548836,12,171.452187
-8.728179,12,171.580307
-15.896666,12,171.704266
-16.70886,12,171.827239
-10.304871,16,172.140996
-17.25646,12,172.268967
4.8147,12,172.39246
-17.665838,12,172.516679
-3.168062,12,172.640131
-17.615162,12,172.763177
-15.720523,12,172.890283
-1.300169,12,173.016276
-8.962003,12,173.142927
-19.333017,12,173.275347
-21.763801,12,173.402201
12.675755,12,173.527266
-16.062527,12,173.652738
-19.78974,12,173.777904
9.694059,12,173.901402
-21.694484,12,174.03104
-22.357291,12,174.159673
-4.790136,12,174.296828
7.115299,12,174.41896
-19.68345,12,174.544574
-11.811391,12,174.670636
-15.338432,12,174.946461
-11.38689,25,175.204649
-21.831921,12,175.33487
39.013539,76,176.124492
-15.802864,12,176.254842
-18.66675,12,176.380554
-15.376941,21,176.598424
2.523188,12,176.722844
-11.884524,12,176.8509
-21.371404,12,176.976926
-12.221185,12,177.101871
8.839278,12,177.23743
-13.040257,12,177.366607
-20.778585,12,177.493301
-10.066899,12,177.794644
-11.241895,12,177.919981
-32.783729,46,178.409957
-21.014016,12,178.53505
-1.911618,12,178.660937
